fixture,component,odd,class,iOS-Android,iOS-web,Android-web,sizes,label_ink,ink_bbox,parent,text,props
fixtures/combinations/blend-isolation.json,003_wrapper.png,iOS,IOS-ODD,"[0.9492, 0.601]","[0.9492, 0.601]","[1, 0]","{""iOS"": [390, 32], ""Android"": [390, 32], ""web"": [390, 32]}","{""iOS"": 0, ""Android"": 0, ""web"": 0}","{""iOS"": [6, 6, 188, 26], ""Android"": [6, 6, 188, 26], ""web"": [6, 6, 188, 26]}",BI_Auto,,"{""position"": ""absolute"", ""left"": ""0px"", ""top"": ""0px"", ""width"": ""200px"", ""height"": ""80px"", ""isolation"": ""auto""}"
fixtures/combinations/nested-transforms.json,000_NT_Control_ChildRotate.png,Android,ANDROID-ODD,"[0.9158, 6.484]","[0.998, 0.142]","[0.9154, 6.6]","{""iOS"": [390, 112], ""Android"": [390, 112], ""web"": [390, 112]}","{""iOS"": 0, ""Android"": 0, ""web"": 0}","{""iOS"": [67, 27, 58, 58], ""Android"": [36, 64, 57, 48], ""web"": [67, 28, 58, 56]}",,,"{""width"": ""160px"", ""height"": ""80px"", ""position"": ""relative""}"
fixtures/combinations/nested-transforms.json,001_box.png,Android,ANDROID-ODD,"[0.9546, 2.684]","[0.9971, 0.28]","[0.9542, 2.989]","{""iOS"": [390, 32], ""Android"": [390, 32], ""web"": [390, 32]}","{""iOS"": 0, ""Android"": 0, ""web"": 0}","{""iOS"": [59, 11, 42, 21], ""Android"": null, ""web"": [59, 12, 41, 20]}",NT_Control_ChildRotate,,"{""position"": ""absolute"", ""left"": ""60px"", ""top"": ""20px"", ""width"": ""40px"", ""height"": ""40px"", ""background-color"": ""#e74c3c"", ""transform"": ""rotate(45deg)""}"
fixtures/combinations/nested-transforms.json,002_NT_ParentScaleX_ChildRotate.png,Android,ANDROID-ODD,"[0.8615, 12.582]","[0.9976, 0.279]","[0.8612, 12.752]","{""iOS"": [390, 112], ""Android"": [390, 112], ""web"": [390, 112]}","{""iOS"": 0, ""Android"": 0, ""web"": 0}","{""iOS"": [39, 27, 114, 58], ""Android"": [0, 64, 90, 48], ""web"": [39, 27, 114, 58]}",,,"{""width"": ""160px"", ""height"": ""80px"", ""transform"": ""scaleX(2)"", ""position"": ""relative""}"
fixtures/combinations/nested-transforms.json,003_box.png,Android,ANDROID-ODD,"[0.9546, 2.684]","[0.9971, 0.28]","[0.9542, 2.989]","{""iOS"": [390, 32], ""Android"": [390, 32], ""web"": [390, 32]}","{""iOS"": 0, ""Android"": 0, ""web"": 0}","{""iOS"": [59, 11, 42, 21], ""Android"": null, ""web"": [59, 12, 41, 20]}",NT_Control_ChildRotate,,"{""position"": ""absolute"", ""left"": ""60px"", ""top"": ""20px"", ""width"": ""40px"", ""height"": ""40px"", ""background-color"": ""#e74c3c"", ""transform"": ""rotate(45deg)""}"
fixtures/combinations/nested-transforms.json,004_NT_ParentRotate_ChildScaleX.png,Android,ANDROID-ODD,"[0.9007, 8.157]","[0.9973, 0.211]","[0.9002, 8.397]","{""iOS"": [390, 112], ""Android"": [390, 112], ""web"": [390, 112]}","{""iOS"": 0, ""Android"": 0, ""web"": 0}","{""iOS"": [53, 13, 86, 86], ""Android"": [96, 56, 84, 56], ""web"": [53, 13, 86, 86]}",,,"{""width"": ""160px"", ""height"": ""80px"", ""transform"": ""rotate(45deg)"", ""position"": ""relative""}"
fixtures/combinations/nested-transforms.json,005_box.png,Android,ANDROID-ODD,"[0.8473, 11.667]","[1, 0]","[0.8473, 11.667]","{""iOS"": [390, 32], ""Android"": [390, 32], ""web"": [390, 32]}","{""iOS"": 0, ""Android"": 0, ""web"": 0}","{""iOS"": [40, 20, 80, 12], ""Android"": [100, 20, 80, 12], ""web"": [40, 20, 80, 12]}",NT_Control_ChildRotate,,"{""position"": ""absolute"", ""left"": ""60px"", ""top"": ""20px"", ""width"": ""40px"", ""height"": ""40px"", ""background-color"": ""#e74c3c"", ""transform"": ""rotate(45deg)""}"
fixtures/combinations/radius-overflow-transform.json,003_ROT_SelfRotate_ClippedChild.png,iOS,IOS-ODD,"[0.9301, 3.44]","[0.931, 3.088]","[0.9992, 0]","{""iOS"": [390, 140], ""Android"": [390, 140], ""web"": [390, 140]}","{""iOS"": 0, ""Android"": 0, ""web"": 0}","{""iOS"": [40, 40, 80, 60], ""Android"": [31, 21, 98, 98], ""web"": [30, 20, 100, 100]}",,,"{""width"": ""80px"", ""height"": ""60px"", ""overflow"": ""hidden"", ""transform"": ""rotate(45deg)"", ""position"": ""relative"", ""margin"": ""24px""}"
fixtures/fidelity/animations.combos.json,010_Animations_Decorated.png,web,WEB-LABEL-SPILL,"[0.9988, 0.356]","[0.9371, 1.129]","[0.9371, 1.158]","{""iOS"": [390, 62], ""Android"": [390, 62], ""web"": [390, 62]}","{""iOS"": 0, ""Android"": 0, ""web"": 170}","{""iOS"": [15, 14, 52, 34], ""Android"": [15, 14, 52, 34], ""web"": [15, 14, 139, 39]}",,,"{""background-color"": ""#16a085"", ""border-radius"": ""6px"", ""box-shadow"": ""inset 0 2px 6px rgba(0,0,0,0.4)"", ""opacity"": ""0.7"", ""transform"": ""rotate(6deg)"", ""padding"": ""12px"", ""animation-composition"": ""add"", ""animation-delay"": ""-1.5s""}"
fixtures/fidelity/appearance.combos.json,001_Appearance_BoxModel.png,web,WEB-ODD,"[1, 0]","[0.9984, 2.336]","[0.9988, 2.336]","{""iOS"": [390, 144], ""Android"": [390, 144], ""web"": [390, 144]}","{""iOS"": 0, ""Android"": 0, ""web"": 0}","{""iOS"": [24, 24, 240, 96], ""Android"": [24, 24, 240, 96], ""web"": [24, 24, 240, 96]}",,,"{""width"": ""240px"", ""height"": ""96px"", ""padding"": ""20px"", ""margin"": ""8px"", ""border"": ""4px double #8e44ad"", ""background-color"": ""#e74c3c"", ""appearance"": ""menulist"", ""appearance-variant"": ""button""}"
