fixture,exit,elapsed_s,expected,cap_ios,cap_android,cap_web,gate_pairs,gate_known,gate_unexpected,gate_stale,oracle_checked,oracle_violations,oracle_waived,oracle_stale,notes,failing_components(class)
fixtures/combinations/transform-list-order.json,0,87,6,6,6,6,18,0,0,0,18,0,0,0,,
fixtures/combinations/blend-isolation.json,4,85,7,7,7,7,21,0,2,0,,,0,0,,003_wrapper=IOS-ODD
fixtures/combinations/filter-chain-order.json,0,61,4,4,4,4,12,0,0,0,12,0,0,0,,
fixtures/combinations/gradient-stops-interp.json,0,62,4,4,4,4,12,0,0,0,12,0,0,0,,
fixtures/combinations/nested-transforms.json,4,66,8,8,8,8,24,0,12,0,,,0,0,,000_NT_Control_ChildRotate=ANDROID-ODD | 001_box=ANDROID-ODD | 002_NT_ParentScaleX_ChildRotate=ANDROID-ODD | 003_box=ANDROID-ODD | 004_NT_ParentRotate_ChildScaleX=ANDROID-ODD | 005_box=ANDROID-ODD
fixtures/combinations/opacity-blend.json,0,65,6,6,6,6,18,0,0,0,15,0,0,0,,
fixtures/combinations/opacity-filter-stacking.json,0,65,8,8,8,8,24,0,0,0,12,0,0,0,,
fixtures/combinations/perspective-translatez.json,0,59,5,5,5,5,15,0,0,0,15,0,0,0,,
fixtures/combinations/radius-overflow-transform.json,4,56,4,4,4,4,12,0,2,0,,,0,0,,003_ROT_SelfRotate_ClippedChild=IOS-ODD
fixtures/fidelity/animations.combos.json,4,63,11,11,11,11,33,0,2,0,,,0,0,,010_Animations_Decorated=WEB-LABEL-SPILL
fixtures/fidelity/appearance.combos.json,4,57,4,4,4,4,12,0,4,0,,,0,0,,001_Appearance_BoxModel=WEB-ODD | 003_Appearance_Decorated=WEB-LABEL-SPILL
fixtures/fidelity/background.combos.json,4,61,6,6,6,6,18,0,3,0,,,0,0,,005_Background_Decorated=THREE-WAY-ODD
fixtures/fidelity/borders.combos.json,4,67,17,17,17,17,51,0,6,0,,,0,0,,013_Borders_C14_CornerShape=THREE-WAY-ODD | 016_Borders_Decorated=THREE-WAY-ODD
fixtures/fidelity/color.combos.json,4,58,5,5,5,5,15,0,2,0,,,0,0,,004_Color_Decorated=WEB-LABEL-SPILL
fixtures/fidelity/columns.combos.json,4,58,5,5,5,5,15,0,2,0,,,0,0,,004_Columns_Decorated=NATIVES-WIDER
fixtures/fidelity/container.combos.json,4,59,4,4,4,4,12,0,2,0,,,0,0,,003_Container_Decorated=WEB-LABEL-SPILL
fixtures/fidelity/counters.combos.json,4,58,4,4,4,4,12,0,2,0,,,0,0,,003_Counters_Decorated=WEB-LABEL-SPILL
fixtures/fidelity/dynamic/dark-mode.json,0,57,4,4,4,4,12,0,0,0,,,0,0,,
fixtures/fidelity/dynamic/media-width.json,0,57,7,7,7,7,21,0,0,0,,,0,0,,
fixtures/fidelity/dynamic/states.json,0,57,6,6,6,6,18,0,0,0,,,0,0,,
fixtures/fidelity/effects.combos.json,0,63,11,11,11,11,33,0,0,0,,,0,0,,
fixtures/fidelity/experimental.combos.json,4,55,4,4,4,4,12,0,2,0,,,0,0,,003_Experimental_Decorated=WEB-LABEL-SPILL
fixtures/fidelity/images.combos.json,4,57,4,4,4,4,12,0,4,0,,,0,0,,001_Images_BoxModel=WEB-ODD | 003_Images_Decorated=ANDROID-ODD
fixtures/fidelity/interactions.combos.json,4,59,6,6,6,6,18,0,2,0,,,0,0,,005_Interactions_Decorated=WEB-LABEL-SPILL
